# 13 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13]]
[[ 2,  1], [11,  7], [ 5,  3], [ 9,  0], [ 6, 10], [12,  8], [13,  4]]
[[13, 11], [ 0,  7], [ 4, 10], [ 6,  5], [ 3,  1], [ 9, 12], [ 8,  2]]
[[13,  2], [10,  1], [ 3,  6], [12,  7], [ 8,  4], [ 0,  5], [11,  9]]
[[11,  4], [13,  7], [ 1,  6], [ 0,  2], [12,  5], [ 3,  8], [ 9, 10]]
[[11,  2], [13,  8], [10,  0], [ 1,  9], [ 4,  6], [12,  3], [ 7,  5]]
[[ 4,  7], [ 9,  6], [ 5, 11], [13, 10], [ 0,  3], [ 1,  8], [ 2, 12]]
[[ 2,  7], [ 0,  4], [ 3, 13], [ 5,  9], [ 1, 11], [ 6,  8], [12, 10]]
[[11, 12], [10,  3], [ 8,  5], [ 2,  4], [ 6,  0], [ 1,  7], [13,  9]]
[[ 9,  4], [ 3, 11], [ 1, 13], [12,  6], [ 8,  0], [ 5,  2], [10,  7]]
[[ 5, 10], [ 4,  1], [ 8, 11], [ 9,  2], [12,  0], [ 6, 13], [ 7,  3]]
[[ 8, 10], [ 0, 11], [ 1, 12], [ 2,  6], [ 7,  9], [ 4,  3], [13,  5]]
[[ 4, 12], [ 2, 10], [11,  6], [ 3,  9], [13,  0], [ 7,  8], [ 5,  1]]
