# 19 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13], [14, 15], [16, 17], [18, 19]]
[[ 8, 13], [ 3,  4], [ 2,  6], [ 5,  9], [18, 12], [ 1, 17], [19, 10], [ 7, 11], [16, 15], [14,  0]]
[[15,  4], [18, 13], [ 3,  5], [ 1,  9], [ 0,  7], [ 6, 10], [14, 17], [16, 11], [ 8,  2], [19, 12]]
[[13, 10], [ 9, 12], [14,  3], [ 6, 18], [ 0, 19], [ 2,  1], [15,  8], [ 4, 11], [17,  5], [16,  7]]
[[ 4, 10], [17, 12], [ 2,  5], [ 8,  1], [ 3, 11], [16, 13], [14,  6], [ 7,  9], [ 0, 18], [15, 19]]
[[ 5, 19], [ 1, 14], [15,  7], [12, 11], [ 8, 18], [ 0, 16], [ 2,  4], [ 6, 17], [ 3, 10], [13,  9]]
[[ 9, 11], [ 8, 16], [ 6, 12], [ 2, 10], [18,  4], [14, 19], [ 0, 13], [ 7,  3], [ 1,  5], [15, 17]]
[[19,  8], [11, 18], [ 5, 16], [14,  4], [15, 12], [ 6,  1], [ 7, 10], [17,  0], [ 2, 13], [ 9,  3]]
[[ 6,  5], [17, 18], [15,  9], [14,  8], [11, 13], [ 1,  7], [19,  4], [ 3, 12], [10,  0], [ 2, 16]]
[[ 3,  0], [12,  7], [13, 15], [ 8,  6], [16, 10], [ 9,  2], [18, 14], [17, 19], [ 5, 11], [ 4,  1]]
[[ 8, 12], [13, 19], [ 0,  4], [15,  6], [10,  1], [ 2, 17], [ 9, 16], [ 7,  5], [14, 11], [ 3, 18]]
[[ 9, 14], [17, 13], [10, 12], [11,  8], [ 4,  7], [ 1, 18], [19,  2], [ 0,  5], [16,  6], [15,  3]]
[[ 4, 16], [14, 13], [15,  0], [ 1, 12], [18,  5], [ 8,  3], [10, 17], [ 9, 19], [11,  6], [ 7,  2]]
[[14, 16], [ 8, 17], [ 6,  9], [13,  3], [19,  7], [12,  4], [ 0,  2], [15, 18], [ 5, 10], [ 1, 11]]
[[16, 19], [14,  7], [12,  2], [ 0,  8], [11, 17], [ 3,  6], [ 5, 15], [13,  1], [ 9,  4], [18, 10]]
[[11, 15], [ 2, 14], [ 3, 16], [18,  9], [ 1, 19], [ 8, 10], [ 4, 17], [ 6,  0], [ 5, 12], [13,  7]]
[[ 9, 17], [12,  0], [ 4,  6], [16, 18], [ 7,  8], [ 2, 11], [ 5, 13], [15,  1], [19,  3], [10, 14]]
[[17,  7], [ 8,  4], [13,  6], [12, 16], [11, 19], [ 2, 18], [ 1,  3], [ 0,  9], [ 5, 14], [15, 10]]
[[13,  4], [ 9, 10], [ 6, 19], [ 8,  5], [ 7, 18], [ 0, 11], [ 2, 15], [17,  3], [ 1, 16], [12, 14]]
