# 21 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21]]
[[ 4, 10], [16, 21], [ 3, 15], [ 9,  1], [ 2, 17], [ 0, 18], [14, 12], [19, 11], [ 7, 20], [ 8,  6], [13,  5]]
[[ 5, 10], [11,  6], [ 0, 19], [15, 18], [ 8, 21], [ 2, 14], [13,  3], [20,  9], [ 1,  7], [ 4, 16], [17, 12]]
[[ 4, 15], [16,  3], [17,  6], [ 2,  0], [ 5, 14], [ 1, 19], [21,  7], [13, 10], [ 8, 12], [ 9, 11], [18, 20]]
[[ 2,  8], [14, 10], [15, 19], [ 9,  0], [ 3,  5], [ 4, 17], [ 6, 13], [18, 11], [21, 12], [ 7, 16], [20,  1]]
[[11, 20], [ 3,  0], [21, 13], [14, 19], [ 9,  7], [17, 10], [16, 15], [ 6,  2], [18,  8], [ 1,  4], [ 5, 12]]
[[20,  8], [16,  0], [21,  5], [ 9,  2], [10,  3], [11,  4], [ 7, 17], [ 6, 12], [ 1, 15], [14, 18], [19, 13]]
[[10,  6], [ 2, 16], [ 7, 15], [ 3, 11], [13,  0], [ 5, 18], [ 4, 12], [19,  8], [ 1, 21], [ 9, 17], [20, 14]]
[[14,  3], [ 4, 20], [19,  6], [17,  8], [10, 18], [ 7, 12], [ 1, 16], [21, 11], [15,  0], [ 9, 13], [ 2,  5]]
[[13, 11], [ 1,  8], [20,  6], [16,  5], [ 7,  0], [ 2,  4], [15, 21], [12, 19], [17, 14], [18,  3], [ 9, 10]]
[[17, 21], [ 7, 18], [20,  5], [13,  1], [10, 16], [ 2, 11], [ 9,  6], [19,  3], [ 8,  0], [15, 12], [14,  4]]
[[11,  8], [12, 16], [15, 13], [ 7,  3], [ 6,  5], [ 2, 21], [10,  1], [ 4, 18], [19,  9], [17, 20], [14,  0]]
[[17, 11], [ 0,  6], [14,  9], [20, 10], [ 5, 19], [ 4,  7], [16,  8], [13, 18], [21,  3], [15,  2], [12,  1]]
[[20, 19], [ 6, 14], [13,  4], [ 9, 21], [ 0, 17], [ 3,  1], [ 2, 12], [16, 18], [ 8,  7], [11,  5], [15, 10]]
[[21,  0], [ 5, 17], [ 3,  6], [20, 15], [14, 11], [ 9, 12], [ 8,  4], [ 1, 18], [10,  2], [13, 16], [ 7, 19]]
[[11, 16], [13,  2], [12,  3], [ 6,  4], [ 9,  5], [10, 19], [14,  7], [18, 21], [ 1, 17], [15,  8], [ 0, 20]]
[[16, 14], [20,  3], [11, 15], [12,  0], [13,  8], [17, 19], [18,  2], [ 1,  6], [ 9,  4], [21, 10], [ 5,  7]]
[[19, 21], [ 9, 18], [ 4,  0], [17,  3], [14,  1], [ 2, 20], [11, 12], [10,  8], [ 7, 13], [15,  5], [ 6, 16]]
[[ 6, 15], [16, 19], [17, 18], [11,  1], [12, 20], [ 7,  2], [ 8,  5], [ 0, 10], [13, 14], [ 9,  3], [ 4, 21]]
[[17, 13], [19,  2], [ 5,  1], [21,  6], [20, 16], [10,  7], [ 9, 15], [ 3,  4], [ 0, 11], [18, 12], [14,  8]]
[[14, 21], [ 8,  3], [ 9, 16], [13, 20], [ 0,  5], [15, 17], [10, 12], [ 2,  1], [ 4, 19], [11,  7], [ 6, 18]]
