# 23 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23]]
[[ 8, 18], [16, 11], [12,  3], [ 6, 20], [19, 17], [22,  1], [ 4, 23], [ 9, 15], [ 0,  2], [10,  7], [ 5, 14], [21, 13]]
[[ 7, 20], [ 1, 23], [ 3, 15], [22,  2], [19, 10], [ 9, 11], [12,  5], [ 8,  4], [13, 17], [ 0, 21], [16, 14], [18,  6]]
[[22,  3], [18, 13], [15, 10], [19,  5], [16, 21], [ 8, 20], [14, 11], [ 1,  2], [ 4, 17], [ 0,  9], [12,  7], [23,  6]]
[[23, 18], [ 4, 19], [ 5,  9], [ 0, 12], [14, 22], [17, 10], [16, 15], [ 1, 13], [21, 11], [ 2,  7], [ 3, 20], [ 8,  6]]
[[ 5,  3], [13, 15], [11,  4], [19,  8], [20,  9], [12,  6], [ 0, 17], [22, 16], [ 7, 23], [14, 21], [ 2, 10], [18,  1]]
[[17, 22], [ 6,  9], [ 1, 21], [13, 11], [15, 18], [20,  4], [12, 19], [ 0,  3], [16, 23], [14,  7], [10,  8], [ 2,  5]]
[[18, 12], [ 8,  1], [17, 23], [ 6, 13], [15, 22], [16,  2], [21,  7], [ 3, 11], [ 4, 14], [10,  0], [ 5, 20], [ 9, 19]]
[[ 4,  3], [ 6, 11], [13, 10], [ 5, 18], [ 9, 16], [ 8, 17], [19, 20], [12,  1], [ 2, 21], [ 0, 14], [22,  7], [23, 15]]
[[ 7, 13], [15,  8], [ 5,  6], [16, 12], [14, 18], [20,  0], [11, 17], [ 4,  2], [ 9, 21], [ 3, 23], [ 1, 19], [22, 10]]
[[14, 23], [15,  7], [ 3,  9], [22, 11], [17, 12], [13,  5], [ 0,  4], [ 8,  2], [16, 20], [ 6, 19], [18, 21], [10,  1]]
[[ 7,  8], [20, 17], [13,  9], [14, 10], [ 2, 15], [ 0, 11], [ 6, 16], [ 3,  1], [19, 23], [21, 12], [ 4, 18], [ 5, 22]]
[[ 6,  1], [20, 14], [21, 17], [ 7,  0], [22,  8], [ 3, 16], [15,  5], [11, 12], [10, 18], [ 9, 23], [ 4, 13], [19,  2]]
[[ 4, 22], [13, 23], [12,  2], [16, 10], [11,  1], [ 9, 14], [ 6, 17], [ 3,  7], [21, 15], [ 5,  8], [19,  0], [18, 20]]
[[ 9, 22], [11, 19], [14,  6], [ 7, 16], [ 2, 23], [12,  8], [ 5, 10], [13, 20], [18,  0], [ 1,  4], [17, 15], [21,  3]]
[[13,  0], [21,  8], [ 5,  1], [12, 22], [ 4,  6], [ 3, 18], [19, 16], [10,  9], [14,  2], [23, 11], [15, 20], [ 7, 17]]
[[20, 10], [ 2, 13], [23,  5], [22, 21], [ 0,  6], [18, 17], [12, 15], [ 3, 19], [ 8, 16], [11,  7], [ 4,  9], [14,  1]]
[[21, 23], [ 4,  7], [ 3, 13], [15, 19], [ 9, 18], [ 5,  0], [ 1, 16], [ 2, 20], [ 6, 22], [17, 14], [10, 12], [ 8, 11]]
[[13, 19], [21, 10], [ 7, 18], [22, 20], [17,  2], [ 0, 15], [ 6,  3], [16,  4], [12, 14], [ 9,  1], [11,  5], [23,  8]]
[[ 4, 10], [21, 19], [ 0, 23], [ 7,  5], [ 9, 12], [ 8, 14], [ 1, 15], [17,  3], [20, 11], [16, 13], [ 2,  6], [22, 18]]
[[23, 20], [13,  8], [14, 19], [ 9,  7], [ 5, 21], [12,  4], [22,  0], [10,  3], [ 1, 17], [15,  6], [ 2, 11], [16, 18]]
[[14,  3], [ 6, 10], [ 2, 18], [ 0,  8], [ 7, 19], [21,  4], [ 9, 17], [12, 23], [22, 13], [15, 11], [16,  5], [20,  1]]
[[ 9,  2], [19, 22], [23, 10], [14, 13], [ 6, 21], [17,  5], [ 8,  3], [ 0, 16], [ 4, 15], [18, 11], [20, 12], [ 7,  1]]
