# 25 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23], [24, 25]]
[[23, 19], [22,  9], [25,  8], [11,  1], [21, 14], [15, 13], [ 3, 18], [20, 10], [ 5,  2], [ 4, 17], [24, 16], [ 0,  7], [12,  6]]
[[15,  8], [ 5, 12], [16,  9], [18, 17], [13, 20], [ 4, 11], [ 0,  2], [25, 10], [ 1,  3], [24,  7], [22,  6], [21, 19], [23, 14]]
[[14,  6], [ 9, 23], [ 0,  8], [22,  7], [ 3, 24], [16, 11], [19, 15], [21, 17], [13, 18], [ 5, 25], [20,  2], [12, 10], [ 1,  4]]
[[25,  4], [15,  9], [ 1, 14], [19, 16], [ 5,  0], [24, 17], [18, 20], [ 6,  8], [22, 10], [ 7, 21], [ 3, 13], [23, 11], [12,  2]]
[[ 1, 24], [22, 12], [ 9, 19], [ 3, 15], [25,  7], [16,  5], [ 4, 21], [14, 17], [10,  6], [20,  0], [11,  8], [18,  2], [13, 23]]
[[16, 25], [12,  3], [20,  7], [ 6,  4], [22,  8], [18,  5], [17, 10], [14,  2], [13,  0], [19, 11], [23, 24], [21,  9], [ 1, 15]]
[[18, 15], [ 6, 11], [14, 10], [25, 17], [ 5,  3], [23,  7], [ 9,  2], [ 4,  8], [16,  1], [24, 13], [21, 12], [19,  0], [22, 20]]
[[10, 18], [13,  2], [ 1, 22], [21, 15], [24,  8], [25,  0], [19, 14], [16,  4], [ 6, 17], [20,  5], [ 3, 23], [11,  9], [ 7, 12]]
[[ 9, 17], [18, 14], [ 7, 10], [ 1, 20], [ 8,  2], [ 5, 13], [ 0, 11], [21,  3], [22, 24], [16, 12], [25, 23], [ 4, 19], [15,  6]]
[[20, 24], [17,  0], [ 9, 13], [ 8,  1], [10, 16], [ 5,  6], [18, 11], [14, 25], [21,  2], [ 4,  7], [22,  3], [12, 19], [23, 15]]
[[23,  4], [22, 25], [12, 17], [ 1, 10], [20,  9], [18, 21], [14,  0], [15, 16], [ 3,  7], [11, 13], [ 2,  6], [19, 24], [ 8,  5]]
[[22,  4], [ 6, 16], [ 9, 10], [25,  3], [ 0, 12], [17, 15], [11,  2], [21,  5], [14, 24], [13,  1], [23,  8], [19, 20], [ 7, 18]]
[[ 6, 23], [25,  1], [15, 24], [21, 11], [ 9,  0], [14,  7], [20, 16], [12,  8], [ 2, 17], [22, 13], [ 4, 18], [ 5, 19], [ 3, 10]]
[[ 7, 11], [23, 20], [16,  3], [10, 15], [21,  8], [ 4, 14], [ 6,  1], [13, 19], [22,  2], [17,  5], [12, 18], [ 9, 25], [24,  0]]
[[14,  9], [21, 22], [ 4, 20], [16, 18], [ 5, 10], [15, 11], [23,  0], [25,  6], [12, 24], [ 1, 17], [ 8,  3], [19,  2], [ 7, 13]]
[[23, 12], [17, 11], [ 7,  9], [20, 14], [19,  1], [ 8, 16], [ 2, 24], [ 0, 21], [22, 18], [ 6,  3], [13, 25], [15,  5], [10,  4]]
[[ 3, 20], [ 6,  0], [ 2,  4], [21, 24], [ 8, 14], [ 1,  9], [22,  5], [19, 17], [15,  7], [13, 16], [23, 10], [12, 11], [18, 25]]
[[ 3, 17], [ 4,  0], [21, 23], [ 2, 25], [13, 14], [22, 16], [ 6, 20], [10, 24], [ 9, 18], [ 5, 11], [15, 12], [ 1,  7], [ 8, 19]]
[[ 7,  8], [24,  5], [15, 20], [ 6, 19], [ 2, 23], [17, 13], [10, 21], [ 1, 18], [12,  4], [25, 11], [ 9,  3], [22, 14], [ 0, 16]]
[[23, 16], [10,  2], [19,  7], [25, 12], [ 3,  4], [17,  8], [21,  1], [24,  9], [ 0, 18], [ 6, 13], [22, 15], [14,  5], [20, 11]]
[[16, 14], [ 1, 23], [ 3,  0], [ 9, 12], [17, 20], [19, 25], [ 2, 15], [18, 24], [ 7,  5], [21,  6], [ 4, 13], [22, 11], [10,  8]]
[[19, 10], [ 8, 20], [15, 25], [23, 17], [18,  6], [ 4, 24], [ 2,  1], [ 7, 16], [ 0, 22], [11,  3], [ 5,  9], [21, 13], [12, 14]]
[[ 5,  1], [ 8, 13], [ 9,  6], [23, 18], [17,  7], [ 4, 15], [21, 25], [22, 19], [24, 11], [14,  3], [ 0, 10], [20, 12], [ 2, 16]]
[[24,  6], [20, 25], [21, 16], [ 1, 12], [10, 13], [22, 17], [ 3, 19], [ 0, 15], [ 2,  7], [ 5, 23], [11, 14], [ 9,  4], [ 8, 18]]
