# 37 different group configurations
[[ 0,  1], [ 2,  3], [ 4,  5], [ 6,  7], [ 8,  9], [10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23], [24, 25], [26, 27], [28, 29], [30, 31], [32, 33], [34, 35], [36, 37]]
[[28,  7], [26, 33], [ 3, 15], [11,  9], [13, 16], [30,  1], [21, 36], [32, 37], [24,  4], [17, 10], [34, 18], [27, 25], [29, 23], [ 6, 20], [19,  8], [31,  2], [22,  0], [ 5, 35], [12, 14]]
[[19, 37], [ 7, 23], [ 2,  1], [26, 21], [36, 30], [33,  6], [27, 13], [11,  0], [34, 16], [ 8,  4], [15, 10], [31, 12], [29, 25], [24, 22], [14,  9], [35, 18], [28, 32], [ 5, 17], [20,  3]]
[[17, 13], [24, 34], [ 0, 21], [22,  1], [ 2, 35], [18, 31], [ 3,  8], [25, 32], [23, 30], [20, 16], [33,  4], [ 5,  6], [27, 37], [28, 10], [19, 11], [26, 36], [12, 29], [ 9, 15], [14,  7]]
[[17, 37], [ 8, 34], [27, 35], [26, 31], [ 0, 20], [13, 29], [23,  3], [28,  4], [33, 24], [25,  2], [15, 30], [18, 22], [ 7, 19], [11,  1], [ 6, 14], [36, 32], [ 5, 16], [ 9, 21], [12, 10]]
[[ 1, 36], [ 4, 30], [ 3, 17], [34, 37], [15, 16], [32, 13], [27, 21], [ 2, 29], [20, 24], [10, 19], [25, 33], [18, 12], [ 8,  6], [31, 35], [ 7,  0], [23, 28], [11, 26], [ 9,  5], [22, 14]]
[[ 8, 15], [36, 22], [21, 24], [ 7, 26], [13,  0], [14, 27], [32, 16], [ 6, 31], [33, 19], [23, 18], [20, 29], [28, 25], [11,  3], [ 2, 30], [ 5, 37], [ 4, 10], [35,  9], [34,  1], [17, 12]]
[[29, 30], [24,  8], [22, 34], [12,  1], [ 2, 20], [19, 32], [ 3,  4], [15, 28], [11, 36], [33, 23], [ 7, 27], [16, 35], [31,  9], [18, 17], [14, 21], [ 5,  0], [13, 26], [ 6, 25], [37, 10]]
[[33, 11], [34, 15], [ 5,  2], [20, 17], [28, 18], [36, 19], [12,  6], [ 3, 26], [21, 32], [35,  1], [16, 14], [23, 13], [25, 31], [30, 22], [ 8, 37], [10,  0], [ 4, 27], [29,  9], [ 7, 24]]
[[13, 36], [24, 26], [10,  5], [17,  9], [37, 28], [18,  8], [21,  2], [20, 23], [22, 33], [32,  1], [25, 11], [30, 16], [29,  3], [19, 27], [ 0, 34], [14, 35], [ 4,  6], [15, 12], [31,  7]]
[[13, 18], [37, 14], [ 1,  7], [ 6,  2], [ 9,  0], [12, 24], [17, 19], [36,  5], [21, 25], [ 3, 10], [20, 28], [15, 35], [33, 30], [ 4, 32], [22, 16], [26,  8], [31, 11], [34, 23], [27, 29]]
[[21, 31], [ 1,  5], [34, 12], [19,  2], [26, 30], [14, 32], [ 7, 37], [15,  4], [22, 20], [13, 28], [35, 17], [27,  6], [24, 10], [23,  0], [25, 36], [33, 18], [ 3,  9], [ 8, 16], [29, 11]]
[[30, 32], [20, 35], [34, 21], [ 1, 29], [26, 15], [ 8, 22], [28, 33], [24, 16], [ 5,  3], [36, 10], [ 4, 23], [14, 13], [17, 27], [31, 19], [ 7, 11], [12, 37], [ 2,  9], [ 6,  0], [25, 18]]
[[29, 33], [26, 18], [14, 28], [20,  1], [ 5, 21], [24, 32], [ 4, 16], [27,  8], [11, 13], [36, 31], [22, 35], [ 6, 15], [ 3, 34], [ 9, 37], [17, 30], [ 2, 10], [25,  0], [23, 19], [12,  7]]
[[28, 11], [30, 12], [13,  5], [31, 23], [20, 25], [ 4, 29], [37, 26], [ 6,  1], [15, 22], [33, 10], [18, 21], [16,  9], [35,  3], [17,  0], [ 2, 34], [24, 36], [14, 19], [32, 27], [ 7,  8]]
[[ 5, 26], [19, 29], [24,  6], [ 1,  8], [21, 17], [27,  9], [37, 35], [23, 16], [36, 18], [34, 30], [ 7, 20], [25, 14], [12,  4], [31,  0], [28,  2], [13, 33], [10, 32], [15, 11], [22,  3]]
[[24, 27], [31, 37], [12,  9], [ 0, 19], [15,  5], [21, 30], [23,  8], [11, 32], [29, 10], [28,  1], [13, 22], [ 3,  7], [16, 36], [ 2, 14], [33, 35], [26, 17], [ 4, 20], [25, 34], [ 6, 18]]
